МҮОХ|Монголын Үндэсний Олимпийн Хороо
ЕНБД|Ерөнхий нарийн бичгийн дарга
ХХААХҮЯ|Хүнс Хөдөө Аж Ахуй Хөнгөн Үйлдвэрийн Яам
ЭХЯ|Эрчим Хүчний Яам
УЕПГ|Улсын ерөнхий прокурорын газар
ИНЕГ|Иргэний нисэхийн ерөнхий газар
НАХЯ|Нийгмийг Аюулаас Хамгаалах Яам
УАХЕГ|Улсыг аюулаас хамгаалах ерөнхий газар
ХААЯ|Хөдөө Аж Ахуйн Яам
УБЕГ|Улсын бүртгэлийн ерөнхий газар
ГЕГ|Гаалийн Ерөнхий Газар
ЭЕШ|элсэлтийн ерөнхий шалгалт
ЕХБХ|Европын хөлбөмбөгийн холбоо
АЕГ|Архивын ерөнхий газар
ЕСБХБ|Европын сэргээн босголт хөгжлийн банк
ЕАШТ|Европын аварга шалгаруулах тэмцээн
НХХЯ|Нийгмийн Хамгаалал Хөдөлмөрийн Яам
НМХЕГ|Нийслэлийн мэргэжлийн хяналтын ерөнхий газар
БШУЯ|Боловсрол Шинжлэх Ухааны Яам
СЕХ|Сонгуулийн Ерөнхий Хороо
ЗТЯ|Зам Тээврийн Яам
ҮТЕГ|Үндэсний татварын ерөнхий газар
ХХЕГ|Хил хамгаалах ерөнхий газар
ШЕЗ|Шүүхийн ерөнхий зөвлөл
ЕАЭЗХ|Евразийн эдийн засгийн холбоо
ДХЯ|Дотоод Хэргийн Яам
ГЯЯ|Гадаад Явдлын Яам
УУХЯ|Уул Уурхай Хүнд Үйлдвэрийн Яам
ЕХ|Европын холбоо
УУЯ|Уул Уурхайн Яам
АТӨЯХ|Авто тээвэр, өөрөө явагч хэрэгсэл
ХК|хувьцаат компани
ХХК|хязгаарлагдмал хариуцлагатай компани 
НГХУСАЗЗ|Нийслэлийн гэмт хэргээс урьдчилан сэргийлэх ажлыг зохицуулах зөвлөл
ОТ|Оюу толгой
ЗГХМОНХХ|засгийн газрын хэвлэл мэдээлэл олон нийттэй харилцах хэлтэс
